Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes,geometry,nearest_geom,nearest_block
Financial District,40.707107107270474,-74.01066544521271,Black Label Salon 25,40.706057,-74.01035569999998,Spa,4bccd325cc8cd13acba6c1cf,7,POINT (-74.01035569999998 40.706057),POINT (-74.0109045226 40.7061306533),36061000900
Cobble Hill,40.687919722485574,-73.99856139218463,Popina,40.68741973453793,-74.00143152860895,Italian Restaurant,593329652632ec0582bd71df,23,POINT (-74.00143152860895 40.68741973453793),POINT (-74.0014070352 40.688040201),36047004700
Upper East Side,40.77563857330181,-73.96050763135,The Surrey,40.7744149,-73.96388929999999,Hotel,4ae0e432f964a5206e8321e3,65,POINT (-73.96388929999999 40.7744149),POINT (-73.9634170854 40.7739698492),36061013000
Carnegie Hill,40.782682567125704,-73.95325646837112,DTUT,40.78081764919819,-73.94935011863707,Coffee Shop,51ae935b7dd2de27a217609e,521,POINT (-73.94935011863707 40.78081764919819),POINT (-73.9507537688 40.7807537688),36061015400
Civic Center,40.71522892046282,-74.00541529873355,Skin Laundry TriBeCa,40.716404195263756,-74.00856979550123,Spa,58129a2038fae991d721586c,14,POINT (-74.00856979550123 40.71640419526376),POINT (-74.0109045226 40.7174371859),36061003900
Longwood,40.81509904545822,-73.8957882009446,Subway,40.8163212057934,-73.89664561468527,Sandwich Place,4d895394bc848cfa2100c12b,2,POINT (-73.89664561468527 40.8163212057934),POINT (-73.8969346734 40.8169346734),36005008700
Fulton Ferry,40.70328109093014,-73.99550751888415,Empire-Fulton Ferry State Park,40.70438354518276,-73.99294137954713,Park,4b955a1af964a520f29d34e3,42,POINT (-73.99294137954713 40.70438354518276),POINT (-73.9919095477 40.7038693467),36047002100
Gramercy,40.737209832715,-73.98137594833541,Massage Envy - Gramercy NYC,40.737403,-73.98024529999999,Spa,53ebc00a498e6ee143564a60,14,POINT (-73.98024529999999 40.737403),POINT (-73.97924623119999 40.7377889447),36061006400
Belmont,40.857277100738955,-73.88845196134805,Sake II,40.854265084267205,-73.88461563532414,Japanese Restaurant,4baeef6bf964a520cbe23be3,7,POINT (-73.88461563532414 40.8542650842672),POINT (-73.8842713568 40.8553768844),36005038900
Cobble Hill,40.687919722485574,-73.99856139218463,Mex Carroll's Diner,40.685510319269106,-74.00250985465031,Diner,5692966d498ea35a37251d26,6,POINT (-74.00250985465031 40.68551031926911),POINT (-74.0014070352 40.6857788945),36047004700
Woodrow,40.541967622888755,-74.20524582480327,Dunkin',40.54295806965506,-74.2070311006422,Donut Shop,4bc9cd5c68f976b00cda5d83,12,POINT (-74.2070311006422 40.54295806965506),POINT (-74.2071859296 40.5433165829),36085020801
Manor Heights,40.60180957631444,-74.12059399718001,Krispy Pizza,40.604754545322535,-74.12121217358289,Pizza Place,4e4d486a483b734b8083d191,5,POINT (-74.12121217358289 40.60475454532254),POINT (-74.12170854270001 40.6043718593),36085018702
Rossville,40.54940400650072,-74.21572851113952,Mignosi's Supermarket,40.551472505797655,-74.21226658292414,Grocery Store,4c090c3bffb8c9b6b42a6961,14,POINT (-74.21226658292414 40.55147250579765),POINT (-74.2135175879 40.552361809),36085020801
Melrose,40.819754370594936,-73.90942160757436,Domino's Pizza,40.81982581801686,-73.91359559729159,Pizza Place,4e0d238622711665f6088cf7,0,POINT (-73.91359559729159 40.81982581801686),POINT (-73.91276381909999 40.81919597989999),36005007100
Upper East Side,40.77563857330181,-73.96050763135,Kappo Masa,40.77452684529511,-73.96346606906828,Japanese Restaurant,542efa85498ea11026c9746c,12,POINT (-73.96346606906828 40.77452684529511),POINT (-73.9634170854 40.7739698492),36061013000
Parkchester,40.83793782226729,-73.85600310535783,Sabor Latino Seafood Restaurant,40.83636550185743,-73.85303360278897,Chinese Restaurant,4b89b62df964a520ff4c32e3,5,POINT (-73.85303360278897 40.83636550185743),POINT (-73.85261306529999 40.8372864322),36005022200
Woodside,40.746349088602216,-73.90184166838284,Han Ah Reum Asian Mart,40.74464438582925,-73.90507419950345,Grocery Store,4c6dc6e0f338236a37be081b,18,POINT (-73.90507419950345 40.74464438582925),POINT (-73.90643216079999 40.7445728643),36081024900
South Side,40.71086147265064,-73.95800095153331,Bozu,40.71297626571757,-73.95747790354524,Sushi Restaurant,423e0e80f964a52048201fe3,508,POINT (-73.95747790354524 40.71297626571757),POINT (-73.9570854271 40.7129145729),36047051900
Shore Acres,40.60971934079284,-74.0666776606177,Danny Blaines,40.60982,-74.063232,Bar,4b8bf66af964a520fdb432e3,8,POINT (-74.063232 40.60982),POINT (-74.0647236181 40.6088944724),36085000800
Silver Lake,40.61919310792676,-74.09629029235458,The Veranda Cafe,40.62237728853107,-74.09793376922606,American Restaurant,4b8984bef964a520383e32e3,4,POINT (-74.09793376922606 40.62237728853107),POINT (-74.0963819095 40.6224623116),36085005900
Morrisania,40.823591985855344,-73.90150648943059,MTA Bus - Bx17 - Prospect Avenue & East 166th Street,40.825947232177356,-73.8977391949217,Bus Stop,55e43d53498ec10bc93efe30,3,POINT (-73.8977391949217 40.82594723217736),POINT (-73.8969346734 40.8259798995),36005013100
Hamilton Heights,40.823604284811935,-73.94968791883366,Sugar Hill Cafe,40.82433024195042,-73.94553712335258,Café,54de37ca498ee52f039506f5,80,POINT (-73.94553712335258 40.82433024195042),POINT (-73.9444221106 40.823718593),36061022700
Murray Hill,40.764126122614066,-73.81276269135866,Jongro BBQ,40.7641127882201,-73.8094035270143,Korean Restaurant,5518a1a8498e4c7fe6268b88,51,POINT (-73.8094035270143 40.7641127882201),POINT (-73.8082914573 40.7649246231),36081117100
Financial District,40.707107107270474,-74.01066544521271,Physique 57,40.7068436760849,-74.01301424688859,Gym / Fitness Center,568dd8f0498e49b9d660021b,50,POINT (-74.01301424688859 40.7068436760849),POINT (-74.0140703518 40.7061306533),36061001300
Baychester,40.866858107252696,-73.83579759808117,Planet Fitness,40.863297869740656,-73.83556764832478,Gym / Fitness Center,4f5ce789e4b0a4baa3d5dbb6,78,POINT (-73.83556764832478 40.86329786974066),POINT (-73.83678391959999 40.8644221106),36005031000
Tribeca,40.721521967443216,-74.01068328559087,Locanda Verde,40.719981,-74.010002,Italian Restaurant,4a149749f964a52055781fe3,508,POINT (-74.010002 40.719981),POINT (-74.0109045226 40.7196984925),36061003900
Cambria Heights,40.69277463916085,-73.73526873708028,Rite Aid,40.694289000000005,-73.738265,Pharmacy,4c45d7472d3ec9b6fbd130ae,10,POINT (-73.738265 40.694289),POINT (-73.7386432161 40.6948241206),36081059600
West Brighton,40.631878926546065,-74.1071817826561,The Bagel Bin,40.630393346768315,-74.1064965388615,Bagel Shop,4b76d557f964a520b4622ee3,13,POINT (-74.10649653886151 40.63039334676832),POINT (-74.105879397 40.6315075377),36085006700
Pelham Parkway,40.857413498088654,-73.85475564017999,Dunkin',40.856382807615034,-73.85615916190761,Donut Shop,5792658f498e58862a1ffe18,6,POINT (-73.85615916190761 40.85638280761503),POINT (-73.85577889449999 40.8553768844),36005024800
Turtle Bay,40.752042369507215,-73.96770824581834,Crave Fishbar,40.75502559227126,-73.96857583512869,Seafood Restaurant,4fd2e2a8e4b0f961a7719aa4,356,POINT (-73.96857583512869 40.75502559227126),POINT (-73.96974874369999 40.755879397),36061009800
Carroll Gardens,40.68054023107649,-73.99465372828006,Brooklyn Pizza Market,40.68269562956581,-73.99319118567679,Pizza Place,596ab0631de7657c78f4251b,16,POINT (-73.99319118567679 40.68269562956581),POINT (-73.9919095477 40.6835175879),36047006900
Sunnyside Gardens,40.74565180608076,-73.91819286431682,Philomena's,40.743404,-73.922905,Pizza Place,5c280ce4149946002c9e2119,6,POINT (-73.922905 40.743404),POINT (-73.92226130649999 40.7423115578),36081018102
Long Island City,40.75021734610528,-73.93920223915505,The Burger Garage,40.746846999999995,-73.942472,Burger Joint,4c4dff7f67929c74f368699b,151,POINT (-73.942472 40.746847),POINT (-73.9412562814 40.7468341709),36081001900
Fulton Ferry,40.70328109093014,-73.99550751888415,Almondine Bakery,40.703327681984575,-73.99125319992555,Bakery,43504680f964a520b0281fe3,279,POINT (-73.99125319992555 40.70332768198458),POINT (-73.9919095477 40.7038693467),36047002100
Howard Beach,40.65422527738487,-73.83813764600279,Cross Bay Diner,40.65660150022156,-73.83896451505066,Diner,4c13b49f7f7f2d7f747edf68,88,POINT (-73.83896451505066 40.65660150022156),POINT (-73.83994974869999 40.6563819095),36081089200
Morrisania,40.823591985855344,-73.90150648943059,SUBWAY,40.82004529984566,-73.9016764613213,Sandwich Place,561d87ee498e0e9b3504c398,2,POINT (-73.9016764613213 40.82004529984566),POINT (-73.9001005025 40.81919597989999),36005008700
Morris Park,40.847549063536334,-73.8504017803042,S&J Deli,40.84649548725435,-73.84834191938154,Deli / Bodega,4bb6a9da2f70c9b645d58530,12,POINT (-73.84834191938154 40.84649548725435),POINT (-73.84944723619998 40.8463316583),36005025600
Carnegie Hill,40.782682567125704,-73.95325646837112,New York Yoga - Hot Yoga,40.778909508752214,-73.95615953339332,Yoga Studio,4ad7bdb0f964a5204d0e21e3,38,POINT (-73.95615953339332 40.77890950875221),POINT (-73.9570854271 40.7784924623),36061014801
