,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
692,Queens,Sik Gaek,Korean Restaurant,35.6,18633.0,16.0,38.4,8.9,7.4,79,1
693,Bronx,CTown Supermarkets,Grocery Store,43.8,20805.0,21.2,37.0,10.1,8.9,2,3
694,Brooklyn,White Maize,Latin American Restaurant,34.6,82970.0,77.1,2.1,7.7,9.0,45,1
695,Manhattan,THAIs New York,Thai Restaurant,37.9,56872.0,65.7,7.5,14.5,7.4,31,1
696,Manhattan,Yi Ji Shi Mo Noodle Corp,Chinese Restaurant,29.4,28519.0,47.3,18.0,29.3,8.1,30,1
697,Manhattan,Vinyl Wine,Wine Shop,29.1,116699.0,75.6,8.3,15.3,8.5,17,3
698,Manhattan,Tompkins Square Bagels,Bagel Shop,30.0,59917.0,69.2,9.4,25.5,4.9,1088,3
699,Manhattan,City Hall Park,Park,22.5,80454.0,67.8,6.9,32.0,10.8,384,4
700,Staten Island,MTA Bus - Victory Bl & Van Duzer St (S46/S48/S61/S62/S66/S92),Bus Stop,46.9,35375.0,45.8,19.7,16.1,13.0,0,5
701,Queens,Rite Aid,Pharmacy,42.9,14631.0,20.3,28.5,10.7,10.1,13,3
702,Manhattan,Black Label Salon 25,Spa,26.1,111599.0,67.6,2.6,24.1,4.6,7,4
703,Brooklyn,Popina,Italian Restaurant,37.6,56582.0,66.3,6.0,5.5,13.3,23,0
704,Manhattan,The Surrey,Hotel,21.2,195800.0,79.6,4.6,22.2,7.1,65,4
705,Manhattan,DTUT,Coffee Shop,37.9,56872.0,65.7,7.5,14.5,7.4,521,2
706,Manhattan,Skin Laundry TriBeCa,Spa,28.3,142738.0,70.2,4.1,20.6,9.5,14,4
707,Bronx,Subway,Sandwich Place,44.5,14050.0,16.1,39.0,7.5,15.2,2,1
708,Brooklyn,Empire-Fulton Ferry State Park,Park,32.9,100012.0,79.5,4.0,7.6,6.7,42,4
709,Manhattan,Massage Envy - Gramercy NYC,Spa,25.0,78800.0,67.7,9.1,27.0,4.1,14,4
710,Bronx,Sake II,Japanese Restaurant,39.5,10723.0,15.6,29.4,17.2,9.2,7,1
711,Brooklyn,Mex Carroll's Diner,Diner,37.6,56582.0,66.3,6.0,5.5,13.3,6,1
712,Staten Island,Dunkin',Donut Shop,42.2,35567.0,38.8,13.4,2.3,18.3,12,3
713,Staten Island,Krispy Pizza,Pizza Place,40.2,33030.0,36.4,26.1,0.2,23.6,5,0
714,Staten Island,Mignosi's Supermarket,Grocery Store,42.2,35567.0,38.8,13.4,2.3,18.3,14,3
715,Bronx,Domino's Pizza,Pizza Place,44.4,18245.0,26.7,23.4,9.4,19.8,0,0
716,Manhattan,Kappo Masa,Japanese Restaurant,21.2,195800.0,79.6,4.6,22.2,7.1,12,1
717,Bronx,Sabor Latino Seafood Restaurant,Chinese Restaurant,43.1,18173.0,26.2,31.8,2.3,11.5,5,1
718,Queens,Han Ah Reum Asian Mart,Grocery Store,36.2,26473.0,31.9,28.3,2.3,3.5,18,3
719,Brooklyn,Bozu,Sushi Restaurant,31.6,62145.0,75.9,6.5,4.9,4.9,508,1
720,Staten Island,Danny Blaines,Bar,40.5,28115.0,43.8,24.3,5.1,29.7,8,2
721,Staten Island,The Veranda Cafe,American Restaurant,45.9,46169.0,49.3,19.5,3.5,27.5,4,1
722,Bronx,MTA Bus - Bx17 - Prospect Avenue & East 166th Street,Bus Stop,42.8,12742.0,18.2,31.4,6.0,9.2,3,5
723,Manhattan,Sugar Hill Cafe,Café,35.6,33640.0,50.4,25.6,7.5,9.1,80,2
724,Manhattan,Jongro BBQ,Korean Restaurant,38.1,20375.0,33.0,28.8,7.3,9.8,51,1
725,Manhattan,Physique 57,Gym / Fitness Center,22.8,93787.0,75.2,2.5,27.6,5.6,50,4
726,Bronx,Planet Fitness,Gym / Fitness Center,33.8,28097.0,42.0,16.6,2.4,21.7,78,4
727,Manhattan,Locanda Verde,Italian Restaurant,28.3,142738.0,70.2,4.1,20.6,9.5,508,0
728,Queens,Rite Aid,Pharmacy,49.6,30282.0,35.9,17.9,1.4,26.0,10,3
729,Staten Island,The Bagel Bin,Bagel Shop,39.9,41245.0,44.6,23.8,5.3,22.6,13,3
730,Bronx,Dunkin',Donut Shop,37.8,29807.0,34.4,24.7,8.4,19.2,6,3
731,Manhattan,Crave Fishbar,Seafood Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,356,1
732,Brooklyn,Brooklyn Pizza Market,Pizza Place,34.6,82970.0,77.1,2.1,7.7,9.0,16,0
