,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
128,Manhattan,Columbian Bakery,Bakery,38.6,17791.0,35.7,30.9,5.8,15.4,0,3
129,Manhattan,Remi Flowers & Coffee,Café,26.8,101494.0,73.1,1.8,44.7,9.5,24,2
130,Manhattan,Da Raffaele,Italian Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,6,0
131,Queens,McDonald's,Fast Food Restaurant,37.0,36960.0,44.7,14.5,4.6,18.1,32,1
132,Manhattan,Blue Bottle Coffee,Coffee Shop,26.1,111599.0,67.6,2.6,24.1,4.6,1,2
133,Manhattan,York Farm Corp,Deli / Bodega,33.9,101680.0,73.3,6.3,11.8,6.0,11,3
134,Brooklyn,Han Dynasty,Chinese Restaurant,33.5,50871.0,62.6,11.5,9.7,11.2,61,1
135,Manhattan,Heyday,Spa,23.5,70170.0,60.0,7.1,28.6,3.9,33,4
136,Queens,Taco Bell,Fast Food Restaurant,44.8,27850.0,53.5,12.1,2.8,16.6,0,1
137,Brooklyn,Sunny's,Bar,38.2,39277.0,48.5,22.2,12.7,7.7,171,2
138,Brooklyn,Baskin-Robbins,Ice Cream Shop,40.3,22181.0,20.9,34.4,12.5,33.0,0,3
139,Queens,No. 1 Taste Restaurant,Chinese Restaurant,42.9,20317.0,19.0,31.0,2.9,13.3,0,1
140,Queens,Woodside Cafe,American Restaurant,36.2,26473.0,31.9,28.3,2.3,3.5,14,1
141,Manhattan,September Wines & Spirits,Wine Shop,28.8,60670.0,65.1,15.3,22.4,3.1,69,3
142,Queens,Kumo,Sushi Restaurant,35.8,33706.0,47.7,12.6,9.4,8.9,2,1
143,Brooklyn,Brooklyn Farmacy & Soda Fountain,Ice Cream Shop,37.1,79121.0,77.3,8.0,14.9,12.9,225,3
144,Bronx,Enzo's,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,44,0
145,Queens,Matsuri,Japanese Restaurant,36.2,26473.0,31.9,28.3,2.3,3.5,9,1
146,Brooklyn,Le French Tart Deli,Bakery,32.2,77933.0,67.5,7.8,11.2,6.7,24,3
147,Manhattan,The Amish Market,Grocery Store,29.9,91200.0,74.8,3.2,46.1,9.1,203,3
148,Bronx,Conti's Pastry Shoppe,Coffee Shop,46.8,22513.0,22.4,28.1,7.1,16.8,17,2
149,Brooklyn,La Piccola,Deli / Bodega,39.0,20159.0,40.2,11.7,6.7,14.4,1,3
150,Staten Island,Starbucks,Coffee Shop,38.3,30255.0,35.2,15.8,2.0,17.0,1,2
151,Brooklyn,Brooklyn Crab,Seafood Restaurant,38.2,39277.0,48.5,22.2,12.7,7.7,389,1
152,Manhattan,Blackwell Playground,Playground,37.0,50463.0,73.6,6.4,5.1,16.7,3,5
153,Manhattan,Hahm Ji Bach - 함지박,Korean Restaurant,36.2,16655.0,24.6,31.7,13.1,3.9,219,1
154,Queens,MTA Bus - Rockaway Beach Bl & Beach 67 St (Q52),Bus Stop,50.8,22791.0,29.2,26.9,0.0,22.4,2,5
155,Queens,Yeh's Bakery 紅葉,Bakery,39.7,16854.0,20.0,31.4,9.1,14.1,12,3
156,Brooklyn,Relaxing On Smith,Spa,32.2,77933.0,67.5,7.8,11.2,6.7,25,4
157,Manhattan,Think Coffee,Coffee Shop,25.0,78800.0,67.7,9.1,27.0,4.1,132,2
158,Queens,TD Bank,Bank,39.7,16854.0,20.0,31.4,9.1,14.1,3,5
159,Manhattan,Subway,Sandwich Place,38.6,17791.0,35.7,30.9,5.8,15.4,1,1
160,Manhattan,TD Bank,Bank,30.7,74869.0,82.0,5.4,28.5,7.5,4,5
161,Bronx,Jennifer Nail & Spa,Spa,37.8,29807.0,34.4,24.7,8.4,19.2,1,4
162,Manhattan,Ferns,Bar,30.3,55645.0,66.3,13.4,21.6,8.3,129,2
163,Queens,Bagel House,Bagel Shop,35.8,33706.0,47.7,12.6,9.4,8.9,25,3
164,Bronx,Dunkin',Donut Shop,40.3,13599.0,8.1,44.8,7.0,10.9,20,3
165,Manhattan,Starbucks,Coffee Shop,25.7,68495.0,66.2,7.1,36.0,5.9,32,2
166,Queens,Taeneung,Korean Restaurant,37.8,45570.0,62.1,7.1,2.3,10.4,0,1
167,Brooklyn,Travel Bar,Bar,35.9,68519.0,71.1,8.7,10.1,19.4,54,2
168,Manhattan,Interlude Cafe,Café,28.3,142738.0,70.2,4.1,20.6,9.5,19,2
169,Manhattan,MTA Bus - Glen St & Victory (X19/X22/X22A),Bus Stop,48.8,34826.0,34.6,14.1,0.7,27.6,0,5
170,Staten Island,Starbucks,Coffee Shop,35.3,46678.0,43.1,15.0,0.8,30.1,2,2
171,Brooklyn,Ice Cream Truck,Ice Cream Shop,30.9,27355.0,40.7,27.6,29.7,19.8,2,3
172,Staten Island,Elm Park Deli & Grocery,Deli / Bodega,47.0,26332.0,38.2,25.3,5.1,24.8,0,3
173,Staten Island,MTA Bus - Hylan Bl & Vaughn St (S78),Bus Stop,35.3,46678.0,43.1,15.0,0.8,30.1,0,5
174,Staten Island,Dunkin',Donut Shop,50.5,29462.0,38.7,25.3,2.3,26.4,5,3
175,Queens,Jollibee,Fast Food Restaurant,34.3,18147.0,26.4,21.0,12.6,6.2,227,1
176,Brooklyn,Daigo Hand Roll Bar,Japanese Restaurant,33.5,50871.0,62.6,11.5,9.7,11.2,26,1
177,Bronx,Dunkin',Donut Shop,34.5,24619.0,31.8,29.8,15.7,10.3,19,3
178,Manhattan,Life in Motion: Yoga Cycling Barre,Yoga Studio,37.2,71348.0,74.2,8.2,7.3,6.9,14,4
